,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,OtherBanksAccounts,ShoppingOnlinePerMonth,AverageInterestRateOnCreditLine,NumberOfTransactionsForGamblingCompanies,NumberOfComplaintsOnSocialMediaOnBanks,NumberOfPagesWithLikesOnFacebook,NumberOfAccessedAddsOnFacebook
1,1,0.766126609,45,2,0.802982129,9120,13,0,6,0,2,2,60,10,57,10,45,233
2,0,0.957151019,40,0,0.121876201,2600,4,0,0,0,1,3,95,10,47,63,47,640
3,0,0.65818014,38,1,0.085113375,3042,2,1,0,0,0,7,68,3,15,20,23,341
4,0,0.233809776,30,0,0.036049682,3300,5,0,0,0,0,8,54,19,22,84,14,902
5,0,0.9072394,49,1,0.024925695,63588,7,0,1,0,0,2,18,6,44,70,82,455
6,0,0.213178682,74,0,0.375606969,3500,3,0,1,0,1,2,89,6,53,25,19,384
7,0,0.305682465,57,0,5710,NA,8,0,3,0,0,5,45,11,62,79,6,544
8,0,0.754463648,39,0,0.209940017,3500,8,0,0,0,0,8,61,7,27,91,7,459
9,0,0.116950644,27,0,46,NA,2,0,0,0,NA,5,28,16,6,17,45,129
10,0,0.189169052,57,0,0.606290901,23684,9,0,4,0,2,3,63,10,33,56,87,695
11,0,0.644225962,30,0,0.30947621,2500,5,0,0,0,0,6,50,19,26,8,48,319
12,0,0.01879812,51,0,0.53152876,6501,7,0,2,0,2,8,43,10,37,7,16,746
13,0,0.010351857,46,0,0.298354075,12454,13,0,2,0,2,9,48,11,29,19,20,391
14,1,0.964672555,40,3,0.382964747,13700,9,3,1,1,2,7,2,1,17,39,29,863
15,0,0.019656581,76,0,477,0,6,0,1,0,0,6,84,5,51,5,75,385
16,0,0.548458062,64,0,0.209891754,11362,7,0,1,0,2,2,88,4,16,31,3,741
17,0,0.061086118,78,0,2058,NA,10,0,2,0,0,1,19,10,13,62,29,839
18,0,0.166284079,53,0,0.18827406,8800,7,0,0,0,0,5,21,0,32,71,92,142
19,0,0.221812771,43,0,0.527887839,3280,7,0,1,0,2,4,5,4,8,49,51,498
20,0,0.602794411,25,0,0.065868263,333,2,0,0,0,0,6,60,7,49,7,59,444
21,0,0.200923382,43,0,0.430046338,12300,10,0,2,0,0,2,10,10,26,90,12,310
22,1,0.025655677,38,0,0.475841386,3000,7,0,1,0,2,5,62,3,9,73,93,375
23,0,0.9999999,39,0,0.241103559,2500,4,0,0,0,0,4,60,8,28,48,52,583
24,0,0.075426584,32,0,0.085512189,7916,6,0,0,0,0,8,52,12,90,4,15,709
25,0,0.04656027,58,0,0.241621845,2416,9,0,1,0,0,0,99,14,69,91,44,896
26,1,0.392248482,50,0,1.595253368,4676,14,0,3,0,1,3,96,5,83,9,41,732
27,0,0.052436094,58,0,0.097672186,8333,22,0,1,0,0,3,32,2,9,52,51,106
28,0,0.034421473,69,0,0.042383047,2500,17,0,0,0,1,6,25,1,82,71,92,707
29,0,0.452515828,24,0,0.011761247,3400,1,0,0,0,0,1,57,10,65,16,7,223
30,0,0.392994586,58,2,0.436102527,5500,15,0,1,0,0,0,41,16,64,56,33,354
31,0,0.704073982,28,1,0.155201143,4200,8,0,0,0,0,5,73,15,56,5,23,632
32,0,0.9999999,24,0,0.472703063,750,1,0,0,0,0,5,86,0,65,3,37,255
33,0,0.083418009,62,0,977,NA,6,0,1,0,0,7,87,8,71,95,64,125
34,0,0.186868556,57,0,0.313812313,7000,9,0,2,0,0,1,71,5,72,43,87,278
35,0,0.693329681,42,2,0.257731959,2230,7,0,0,0,0,1,10,4,82,9,38,696
36,0,0,64,0,0.073538769,11000,9,0,1,0,0,6,95,1,50,86,58,265
37,0,0.881836362,50,3,0.567858035,4000,9,0,1,0,1,5,63,15,48,24,49,878
38,0,0.9999999,75,1,0.134078212,3400,1,0,1,0,1,9,44,19,13,69,95,385
39,0,0.363636364,26,0,0.00999001,1000,1,0,0,0,0,0,80,10,75,2,46,870
40,0,0.304490668,52,0,0.808340474,3500,10,0,2,0,0,2,73,1,42,64,20,730
41,0,0.71998531,41,1,0.539554464,5700,14,0,1,0,0,9,14,6,99,52,0,863
42,0,0.07289757,81,0,75,NA,7,0,0,0,0,8,39,2,0,86,4,476
43,0,0.469056842,31,0,0.048211004,9250,4,0,0,0,1,8,50,11,0,11,28,160
44,0,0.718705378,28,0,0.170125614,3661,4,0,0,0,1,1,9,10,14,91,74,902
45,0,0.368875933,68,0,1687.5,1,31,0,1,0,0,1,33,11,4,77,62,73
46,0,0.000602723,70,0,0.177787036,16800,12,0,1,0,2,5,23,12,21,38,5,882
47,0,0.061440132,62,0,0.011167837,3133,2,0,0,0,0,6,93,15,83,35,84,230
48,0,0.140110634,31,0,0.689370485,1937,4,0,2,0,0,7,83,8,88,33,17,64
49,0,0.834048027,38,0,0.393662026,13000,13,0,2,0,2,5,32,12,39,7,81,847
50,0,7.96E-05,70,0,0.256339661,6900,21,1,1,0,0,8,93,10,59,44,1,474
51,0,0.818977517,73,0,3095,0,9,0,1,1,0,7,12,14,94,91,45,627
52,1,0.728150491,31,0,0.824725092,3000,10,0,2,0,1,2,67,7,99,48,55,751
53,0,0.9999999,62,0,0,NA,1,0,0,0,0,6,86,1,50,80,12,899
54,0,0.028562367,51,0,0.306381499,5750,5,0,1,0,0,3,45,4,70,7,43,258
55,0,0.992015968,29,0,0.008064516,2231,1,0,0,0,0,2,20,2,47,32,95,960
56,0,0.070853769,55,0,0.073147745,13793,4,0,1,0,0,9,31,9,57,13,59,739
57,0,0.454971915,46,1,0.016921775,13000,10,0,0,0,1,7,47,10,24,14,14,960
58,0,0.401199782,64,0,0.351258937,3216,4,0,1,0,0,3,89,16,46,23,97,303
59,0,0.541108804,43,0,2477,NA,3,0,1,0,2,8,9,0,8,2,89,967
60,0,0.655569945,35,0,0.261609907,5813,10,0,0,0,2,3,27,5,93,43,61,135
61,0,0.651603452,58,0,0.241135663,7783,11,0,1,0,0,9,72,2,95,99,37,968
62,0,0.027399502,69,0,0.00803428,5600,3,0,0,0,0,7,0,0,65,46,63,689
63,0,0.101155821,72,0,1720,NA,12,0,2,0,0,8,15,15,26,89,19,54
64,0,0.009788862,46,0,1.051397656,3326,6,0,2,0,2,1,98,14,23,94,92,796
65,0,0.337520702,60,0,0.549877805,4500,10,0,2,0,0,1,56,8,98,19,29,939
66,0,0,67,0,0.540983607,3720,2,0,1,0,0,5,85,1,87,71,61,201
67,0,0.750873672,55,2,0.316416365,7723,17,0,1,0,1,6,4,9,6,60,1,521
68,0,0.006799093,27,1,0.681045752,764,3,0,0,0,0,2,90,8,50,6,75,501
69,0,0.004264079,31,0,0.111444278,2000,6,1,0,0,2,5,95,2,54,46,34,26
70,0,0.26948375,64,0,0.16106176,9455,13,0,1,0,3,3,22,7,75,43,34,376
71,0,0.265898391,36,0,0.262611807,8384,6,0,2,0,1,3,31,19,91,12,42,75
72,0,0.142013011,67,0,1824,NA,7,0,2,0,0,6,30,7,74,83,84,596
73,0,0.827708197,56,0,0.369590815,6793,15,1,1,0,0,9,88,9,21,71,58,201
74,0,0.059668871,31,0,3162,0,11,0,2,0,1,9,82,5,35,89,85,154
75,1,0.13306279,49,1,0.182881653,10257,9,0,2,0,3,4,89,6,75,95,27,731
76,0,0.234218112,36,0,0.116614347,8600,19,0,0,0,3,6,64,3,90,62,74,971
77,0,0.122295933,29,0,0.694646949,4800,5,0,1,0,0,6,85,18,72,0,7,976
78,0,0.460376317,37,0,0.074155949,4975,6,0,0,0,0,8,21,7,93,41,34,191
79,0,0.335558577,69,0,0.270448637,15000,14,0,2,0,1,6,98,16,93,28,29,498
80,0,0.270522569,41,0,2.797698945,1042,11,0,2,0,2,3,52,1,28,81,93,979
81,0,0.183316667,52,0,0.111131623,10833,14,0,2,0,1,7,70,15,11,41,54,472
82,0,0.074861676,66,0,0.208842479,4500,3,0,1,0,0,5,37,0,3,24,18,47
83,0,0.017258977,53,0,2.604510673,12414,13,0,1,0,2,4,94,13,8,76,99,862
84,0,0.054497069,56,0,0.492021814,4950,18,0,2,0,0,9,87,3,69,91,15,681
85,0,0.029164236,31,0,0.395031809,3300,10,0,1,0,0,6,82,4,20,13,15,771
86,0,0,58,0,0.316144874,4886,9,0,1,0,1,2,57,9,8,32,88,409
